Student_ID,Date,Day,Sleep_Hours,Study_Hours,Class_Attendance,Meal_Count,Physical_Activity,Screen_Time_Hours,Mood
STD177,2025-03-28,Friday,6.1,1.9,True,3,Gym,8.6,Stressed
STD138,2025-04-08,Tuesday,6.4,7.3,False,2,Sports,1.6,Happy
STD148,2025-03-29,Saturday,6.5,3.8,True,3,Gym,3.7,Happy
STD017,2025-04-06,Sunday,6.7,1.0,False,1,Gym,3.8,Stressed
STD179,2025-04-06,Sunday,7.6,6.3,True,1,Gym,8.3,Sad
STD022,2025-04-17,Thursday,4.3,0.9,False,2,Gym,7.3,Sad
STD069,2025-02-18,Tuesday,7.2,5.6,False,3,Walk,7.2,Happy
STD038,2025-03-12,Wednesday,7.1,1.2,False,1,Gym,8.1,Neutral
STD076,2025-03-18,Tuesday,4.9,6.9,False,2,Walk,2.2,Stressed
STD026,2025-04-08,Tuesday,8.1,1.0,False,2,Walk,3.8,Neutral
STD182,2025-04-15,Tuesday,5.6,3.6,True,2,Walk,4.0,Neutral
STD082,2025-04-16,Wednesday,9.2,2.3,True,2,Gym,6.2,Sad
STD037,2025-02-28,Friday,7.6,3.3,False,4,None,7.5,Neutral
STD199,2025-04-13,Sunday,9.7,2.1,False,3,Walk,9.6,Stressed
STD157,2025-04-07,Monday,6.4,7.7,False,4,Sports,7.3,Neutral
STD193,2025-03-24,Monday,8.5,0.2,True,3,Walk,5.9,Neutral
STD082,2025-03-24,Monday,7.9,3.2,True,2,Sports,7.4,Neutral
STD103,2025-03-01,Saturday,4.2,3.0,True,4,Walk,4.7,Happy
STD095,2025-03-06,Thursday,5.7,2.4,True,2,Sports,1.8,Neutral
STD023,2025-03-04,Tuesday,5.5,6.3,True,4,Sports,8.2,Neutral
STD119,2025-03-15,Saturday,6.4,1.4,False,2,Sports,3.3,Stressed
STD145,2025-03-21,Friday,5.6,3.2,False,3,Gym,3.9,Stressed
STD079,2025-03-21,Friday,8.5,5.9,False,4,None,7.8,Happy
STD105,2025-03-15,Saturday,6.7,5.3,True,1,Gym,6.1,Neutral
STD170,2025-02-26,Wednesday,9.9,2.5,False,4,None,2.3,Happy
STD014,2025-03-17,Monday,6.7,7.1,False,3,Gym,4.2,Happy
STD126,2025-03-07,Friday,4.6,0.8,False,4,Gym,5.8,Neutral
STD173,2025-04-11,Friday,4.2,0.5,False,2,Gym,2.5,Stressed
STD163,2025-03-16,Sunday,8.5,0.2,True,3,None,6.0,Sad
STD013,2025-03-07,Friday,7.9,3.9,True,1,Sports,8.3,Neutral
STD132,2025-02-20,Thursday,4.1,2.2,True,4,Walk,9.5,Stressed
STD072,2025-04-14,Monday,4.8,6.8,False,3,Sports,2.6,Happy
STD086,2025-04-15,Tuesday,6.9,6.9,False,2,None,9.2,Sad
STD073,2025-02-25,Tuesday,7.3,3.0,False,1,None,1.5,Happy
STD189,2025-02-23,Sunday,4.4,7.8,False,4,None,5.4,Stressed
STD070,2025-03-19,Wednesday,9.8,5.4,False,3,None,6.3,Happy
STD046,2025-04-04,Friday,5.6,4.6,True,3,Walk,9.0,Happy
STD145,2025-03-07,Friday,9.6,0.2,False,2,None,9.7,Sad
STD046,2025-04-11,Friday,6.6,3.0,False,1,Walk,9.5,Happy
STD015,2025-04-06,Sunday,7.7,3.2,True,4,Sports,5.1,Neutral
STD005,2025-03-17,Monday,4.7,7.6,True,3,Walk,6.3,Stressed
STD165,2025-02-24,Monday,8.6,2.2,True,1,Walk,7.5,Neutral
STD120,2025-03-19,Wednesday,8.6,0.2,True,3,Walk,9.5,Stressed
STD041,2025-03-23,Sunday,7.8,8.0,True,3,Gym,3.3,Stressed
STD112,2025-04-11,Friday,5.5,0.2,True,4,Gym,4.1,Sad
STD176,2025-04-11,Friday,7.8,1.6,False,2,Gym,6.8,Sad
STD116,2025-03-27,Thursday,7.5,4.5,True,2,Walk,5.7,Neutral
STD190,2025-03-22,Saturday,6.1,4.4,True,2,Walk,8.5,Neutral
STD028,2025-02-28,Friday,6.5,4.0,True,3,None,6.0,Happy
STD110,2025-04-07,Monday,9.8,2.8,True,3,Walk,4.7,Neutral
STD005,2025-03-14,Friday,9.2,5.1,True,2,Walk,2.4,Happy
STD115,2025-03-11,Tuesday,6.5,2.8,True,3,None,9.7,Happy
STD187,2025-03-23,Sunday,9.7,4.6,True,2,None,1.5,Happy
STD053,2025-03-24,Monday,7.2,3.4,False,1,None,5.6,Happy
STD038,2025-04-10,Thursday,4.6,6.6,False,4,Walk,1.4,Neutral
STD142,2025-02-24,Monday,8.2,1.2,True,4,Sports,6.0,Stressed
STD003,2025-04-04,Friday,9.1,3.7,True,3,None,4.0,Happy
STD147,2025-04-04,Friday,6.4,0.1,True,2,Gym,1.3,Neutral
STD052,2025-04-02,Wednesday,8.0,4.6,False,4,Walk,7.2,Happy
STD001,2025-02-19,Wednesday,6.8,5.7,False,3,None,9.2,Stressed
STD089,2025-02-25,Tuesday,4.1,3.1,False,1,Gym,5.0,Stressed
STD056,2025-04-16,Wednesday,7.0,3.7,False,3,Sports,4.8,Happy
STD051,2025-03-16,Sunday,5.5,2.5,False,2,Walk,2.7,Stressed
STD043,2025-02-25,Tuesday,9.6,3.5,False,4,Sports,8.0,Stressed
STD132,2025-03-21,Friday,8.9,1.1,False,1,Walk,5.5,Neutral
STD018,2025-04-03,Thursday,4.3,0.8,False,2,None,7.8,Happy
STD194,2025-02-18,Tuesday,8.9,7.2,True,1,Walk,8.0,Stressed
STD130,2025-04-13,Sunday,4.2,1.6,True,1,Gym,3.1,Neutral
STD176,2025-03-12,Wednesday,5.7,6.9,True,1,Walk,6.0,Sad
STD125,2025-03-24,Monday,6.7,7.9,False,3,None,2.2,Happy
STD148,2025-02-26,Wednesday,7.4,1.2,True,1,Gym,8.1,Stressed
STD040,2025-02-27,Thursday,7.0,2.6,True,3,Walk,1.5,Happy
STD073,2025-03-22,Saturday,4.2,7.6,True,3,Walk,4.4,Stressed
STD194,2025-04-06,Sunday,4.6,4.1,True,3,None,4.4,Happy
STD013,2025-03-12,Wednesday,9.4,4.3,False,3,Gym,3.9,Neutral
STD026,2025-04-13,Sunday,6.7,7.9,False,1,None,3.4,Happy
STD105,2025-02-20,Thursday,6.9,6.3,False,3,Sports,9.2,Neutral
STD105,2025-03-16,Sunday,6.8,7.1,True,2,Walk,4.2,Stressed
STD190,2025-04-10,Thursday,4.1,0.9,True,3,None,6.0,Sad
STD165,2025-03-19,Wednesday,7.7,3.1,True,4,Walk,3.9,Happy
STD046,2025-03-31,Monday,5.0,3.0,False,1,Gym,7.5,Sad
STD073,2025-03-03,Monday,4.5,2.5,True,4,None,9.5,Neutral
STD138,2025-04-11,Friday,6.0,7.6,False,1,Gym,6.0,Happy
STD069,2025-03-02,Sunday,9.5,6.5,False,1,Sports,1.2,Neutral
STD199,2025-03-03,Monday,7.1,5.7,True,2,Sports,2.0,Stressed
STD167,2025-03-04,Tuesday,6.4,0.0,True,1,Sports,1.0,Neutral
STD191,2025-03-29,Saturday,8.0,7.8,True,3,Gym,9.2,Neutral
STD055,2025-03-09,Sunday,9.0,0.1,False,3,Walk,4.3,Happy
STD155,2025-04-14,Monday,4.6,5.2,False,3,None,2.5,Neutral
STD194,2025-02-28,Friday,9.9,1.1,False,2,None,2.8,Neutral
STD173,2025-03-26,Wednesday,5.0,7.4,False,4,Walk,2.0,Stressed
STD103,2025-03-02,Sunday,7.0,0.1,False,2,Sports,5.2,Stressed
STD052,2025-02-24,Monday,5.9,6.1,False,3,Sports,7.6,Neutral
STD200,2025-03-18,Tuesday,8.4,6.2,True,1,None,7.9,Happy
STD164,2025-03-08,Saturday,8.3,1.1,False,3,None,3.2,Neutral
STD018,2025-03-25,Tuesday,5.2,2.2,True,3,Gym,9.8,Stressed
STD127,2025-02-26,Wednesday,5.3,0.4,True,4,Gym,2.0,Neutral
STD048,2025-03-15,Saturday,6.1,4.2,True,1,None,3.9,Neutral
STD054,2025-03-17,Monday,10.0,5.1,False,1,None,9.6,Sad
STD199,2025-04-13,Sunday,6.4,7.0,True,4,None,1.2,Happy
STD096,2025-03-18,Tuesday,5.9,4.5,True,1,Walk,6.5,Neutral
STD083,2025-04-14,Monday,7.6,7.0,True,3,Gym,2.0,Happy
STD159,2025-03-27,Thursday,6.2,5.4,True,2,Gym,1.0,Happy
STD113,2025-03-31,Monday,8.6,3.4,True,1,None,4.1,Neutral
STD158,2025-03-18,Tuesday,5.6,6.3,False,3,Sports,1.8,Neutral
STD098,2025-03-10,Monday,9.0,5.5,True,4,Walk,6.5,Neutral
STD108,2025-03-05,Wednesday,9.8,5.1,True,4,Gym,4.3,Neutral
STD132,2025-02-22,Saturday,7.1,3.5,False,2,Gym,8.4,Happy
STD157,2025-02-25,Tuesday,8.8,0.2,True,2,Gym,7.0,Happy
STD136,2025-03-25,Tuesday,9.7,0.4,False,2,Sports,5.3,Stressed
STD193,2025-02-27,Thursday,6.5,7.3,True,3,None,1.6,Neutral
STD039,2025-03-04,Tuesday,9.7,6.2,True,1,Sports,2.0,Stressed
STD016,2025-03-26,Wednesday,4.8,5.0,False,1,Gym,6.9,Stressed
STD029,2025-03-30,Sunday,8.3,2.9,True,4,Gym,9.4,Stressed
STD109,2025-03-27,Thursday,7.2,5.6,True,4,Sports,8.7,Happy
STD142,2025-02-21,Friday,5.6,2.9,True,4,Sports,4.7,Neutral
STD180,2025-03-25,Tuesday,5.5,5.5,True,4,Gym,8.1,Stressed
STD089,2025-03-08,Saturday,4.1,3.1,True,3,Walk,7.1,Happy
STD081,2025-04-05,Saturday,5.4,6.4,False,2,None,9.9,Happy
STD087,2025-04-17,Thursday,7.4,6.5,False,4,Sports,3.3,Stressed
STD080,2025-03-09,Sunday,6.9,0.9,False,1,Sports,1.9,Neutral
STD079,2025-02-22,Saturday,6.4,5.8,False,1,Walk,5.7,Neutral
STD156,2025-03-10,Monday,7.2,3.2,False,4,Walk,5.6,Happy
STD168,2025-02-18,Tuesday,4.3,6.2,False,2,None,2.8,Happy
STD077,2025-04-08,Tuesday,4.9,3.8,True,2,Sports,8.8,Happy
STD056,2025-02-28,Friday,7.8,5.9,True,3,Sports,9.8,Stressed
STD158,2025-02-28,Friday,6.5,0.6,True,3,Gym,1.2,Neutral
STD063,2025-03-21,Friday,9.7,1.2,True,2,Walk,4.7,Neutral
STD152,2025-02-28,Friday,7.8,2.1,False,4,Gym,8.4,Neutral
STD105,2025-03-31,Monday,6.4,0.0,True,1,Walk,2.7,Happy
STD064,2025-04-08,Tuesday,7.9,6.9,True,3,None,3.3,Happy
STD104,2025-03-04,Tuesday,6.4,5.7,False,2,Sports,9.6,Happy
STD146,2025-03-18,Tuesday,6.5,2.9,False,4,None,4.4,Stressed
STD187,2025-02-24,Monday,7.9,3.8,False,1,Walk,3.0,Neutral
STD082,2025-03-26,Wednesday,7.9,8.0,True,1,Gym,9.5,Happy
STD038,2025-03-04,Tuesday,9.6,2.6,True,2,Walk,7.8,Happy
STD199,2025-04-13,Sunday,6.9,3.8,True,3,Walk,9.7,Neutral
STD193,2025-04-06,Sunday,8.2,5.6,False,2,Gym,4.6,Neutral
STD085,2025-04-09,Wednesday,4.4,0.7,True,3,None,9.5,Stressed
STD028,2025-04-11,Friday,9.4,2.0,True,2,None,8.8,Happy
STD184,2025-03-29,Saturday,6.5,2.3,True,3,None,4.7,Happy
STD065,2025-03-16,Sunday,5.5,3.6,True,3,None,9.0,Stressed
STD080,2025-03-21,Friday,7.5,5.1,False,1,None,7.5,Sad
STD191,2025-04-03,Thursday,5.7,5.8,False,2,None,1.3,Neutral
STD078,2025-03-02,Sunday,9.1,2.5,True,2,Walk,5.5,Happy
STD040,2025-04-17,Thursday,4.1,4.9,False,4,Walk,7.6,Neutral
STD135,2025-03-12,Wednesday,6.4,0.3,True,3,None,2.0,Neutral
STD126,2025-03-03,Monday,4.1,3.5,True,3,Walk,6.2,Stressed
STD156,2025-03-09,Sunday,6.9,3.4,False,1,Sports,6.9,Happy
STD163,2025-02-22,Saturday,8.2,1.7,True,1,Walk,5.1,Stressed
STD020,2025-02-18,Tuesday,5.5,2.3,True,2,Walk,1.6,Neutral
STD160,2025-02-21,Friday,5.0,6.4,False,1,Walk,6.0,Neutral
STD022,2025-04-03,Thursday,5.5,0.5,False,2,Sports,3.9,Stressed
STD187,2025-04-06,Sunday,7.4,5.5,True,3,None,7.3,Neutral
STD141,2025-03-08,Saturday,8.4,2.2,True,4,None,4.0,Sad
STD194,2025-04-17,Thursday,7.9,7.2,False,4,None,9.4,Happy
STD153,2025-02-17,Monday,9.6,6.8,True,2,Sports,6.9,Neutral
STD189,2025-02-18,Tuesday,9.9,5.9,True,3,Sports,9.5,Neutral
STD066,2025-03-25,Tuesday,5.7,5.8,True,2,Walk,2.5,Neutral
STD038,2025-04-16,Wednesday,5.6,2.9,False,2,Sports,8.1,Happy
STD121,2025-02-20,Thursday,4.6,6.2,True,2,None,7.2,Neutral
STD042,2025-04-16,Wednesday,5.3,2.6,False,4,Sports,5.0,Happy
STD192,2025-03-23,Sunday,6.7,3.3,True,1,Gym,4.2,Neutral
STD126,2025-03-20,Thursday,4.5,7.0,False,4,Walk,4.2,Sad
STD006,2025-03-13,Thursday,6.1,6.6,False,4,Walk,6.7,Stressed
STD024,2025-02-24,Monday,5.4,7.2,False,2,Sports,5.8,Neutral
STD085,2025-02-18,Tuesday,4.4,0.8,False,4,Walk,3.5,Stressed
STD166,2025-03-09,Sunday,8.0,2.6,True,4,Walk,6.0,Stressed
STD154,2025-03-03,Monday,9.1,0.8,True,3,Sports,5.4,Sad
STD141,2025-03-17,Monday,10.0,7.3,False,2,None,1.4,Sad
STD094,2025-04-16,Wednesday,4.2,3.9,True,1,Sports,5.9,Stressed
STD129,2025-04-06,Sunday,5.5,4.1,True,1,Gym,9.8,Stressed
STD057,2025-02-25,Tuesday,4.5,7.4,False,4,Sports,5.6,Happy
STD118,2025-03-29,Saturday,9.1,1.3,False,1,Gym,8.2,Stressed
STD054,2025-03-27,Thursday,8.4,3.7,True,1,Gym,4.2,Neutral
STD128,2025-02-24,Monday,4.9,0.4,False,4,Gym,4.0,Stressed
STD041,2025-04-02,Wednesday,4.9,1.0,False,1,Walk,6.7,Neutral
STD197,2025-04-08,Tuesday,7.3,4.3,False,1,Sports,7.1,Happy
STD116,2025-04-16,Wednesday,5.1,2.3,True,4,Sports,7.4,Stressed
STD083,2025-03-31,Monday,6.1,6.5,True,2,Sports,7.0,Happy
STD179,2025-03-25,Tuesday,8.0,1.9,True,2,Gym,2.4,Stressed
STD083,2025-04-01,Tuesday,6.9,4.0,True,2,Sports,7.6,Stressed
STD058,2025-03-27,Thursday,6.7,0.5,False,1,Sports,7.2,Happy
STD192,2025-03-26,Wednesday,9.1,6.1,True,3,None,9.9,Stressed
STD081,2025-03-25,Tuesday,9.8,7.3,False,4,Walk,8.6,Happy
STD109,2025-02-17,Monday,9.1,0.9,False,4,Gym,4.5,Sad
STD052,2025-04-08,Tuesday,9.4,0.2,False,3,Gym,8.1,Stressed
STD162,2025-03-02,Sunday,9.8,3.2,True,2,Walk,1.8,Neutral
STD137,2025-03-03,Monday,7.1,3.6,True,4,None,1.1,Happy
STD141,2025-04-12,Saturday,4.2,6.3,False,2,None,9.9,Stressed
STD026,2025-04-17,Thursday,4.3,0.1,False,2,Sports,6.7,Sad
STD044,2025-03-10,Monday,4.3,8.0,False,3,None,6.3,Stressed
STD084,2025-03-21,Friday,6.6,4.6,True,1,None,9.2,Happy
STD101,2025-02-17,Monday,7.6,6.7,False,3,Walk,3.6,Happy
STD045,2025-03-13,Thursday,4.6,5.6,True,3,Gym,9.1,Happy
STD162,2025-03-01,Saturday,4.1,6.6,False,4,None,7.3,Sad
STD057,2025-03-01,Saturday,5.9,5.2,False,3,None,2.4,Sad
STD024,2025-03-22,Saturday,8.7,1.1,True,4,None,9.8,Stressed
STD192,2025-03-17,Monday,6.2,1.3,True,4,Sports,6.9,Neutral
STD079,2025-03-05,Wednesday,7.9,1.4,True,4,Sports,5.9,Neutral
STD063,2025-03-02,Sunday,8.3,0.8,False,3,Gym,4.3,Neutral
STD032,2025-03-08,Saturday,9.9,5.0,True,1,None,8.8,Neutral
STD055,2025-02-27,Thursday,6.1,7.9,True,2,None,3.9,Happy
STD177,2025-04-15,Tuesday,9.7,6.3,False,1,Gym,5.8,Neutral
STD184,2025-02-27,Thursday,8.7,6.0,True,2,Gym,1.5,Happy
STD105,2025-03-01,Saturday,7.4,2.6,True,4,Walk,8.6,Neutral
STD089,2025-04-03,Thursday,8.4,0.1,True,4,Sports,6.5,Stressed
STD034,2025-03-27,Thursday,8.1,0.9,True,4,None,4.7,Neutral
STD105,2025-02-19,Wednesday,6.2,1.8,True,1,Sports,5.3,Happy
STD197,2025-04-06,Sunday,7.0,4.2,False,1,Walk,5.3,Neutral
STD189,2025-03-30,Sunday,5.1,7.2,False,1,Walk,6.8,Sad
STD077,2025-03-19,Wednesday,6.4,5.9,True,2,None,2.0,Stressed
STD100,2025-03-23,Sunday,7.0,2.5,False,1,None,4.3,Neutral
STD025,2025-04-15,Tuesday,8.7,2.0,True,2,Walk,3.0,Sad
STD186,2025-03-25,Tuesday,4.6,2.7,False,2,Gym,9.0,Happy
STD098,2025-03-11,Tuesday,9.2,7.3,False,2,Gym,1.6,Happy
STD065,2025-04-08,Tuesday,8.6,3.5,False,4,Sports,5.3,Neutral
STD159,2025-04-13,Sunday,4.8,3.7,False,2,Walk,4.2,Happy
STD142,2025-03-18,Tuesday,9.5,3.1,False,2,Gym,6.0,Neutral
STD182,2025-04-13,Sunday,6.0,4.0,True,4,Sports,4.3,Happy
STD171,2025-03-12,Wednesday,8.2,7.4,False,2,Gym,2.5,Happy
STD088,2025-03-13,Thursday,7.9,2.2,False,4,Walk,8.6,Neutral
STD164,2025-02-24,Monday,8.1,4.6,False,1,Walk,4.8,Happy
STD078,2025-04-08,Tuesday,5.4,1.2,True,2,Sports,9.4,Neutral
STD044,2025-04-14,Monday,6.9,1.1,True,1,Walk,6.0,Sad
STD057,2025-03-05,Wednesday,8.7,7.2,False,1,Walk,6.7,Happy
STD161,2025-04-05,Saturday,7.2,2.7,True,2,Sports,6.0,Neutral
STD072,2025-02-18,Tuesday,8.8,7.1,True,3,Walk,5.8,Happy
STD061,2025-02-20,Thursday,4.9,2.5,False,2,None,9.8,Neutral
STD180,2025-04-09,Wednesday,7.8,3.4,False,1,Sports,4.3,Happy
STD147,2025-03-17,Monday,8.8,4.5,True,3,None,6.6,Happy
STD032,2025-04-17,Thursday,9.4,1.8,True,1,Walk,5.2,Stressed
STD108,2025-03-31,Monday,7.9,7.3,False,3,None,5.2,Neutral
STD017,2025-04-15,Tuesday,4.8,5.6,False,1,Walk,8.8,Neutral
STD195,2025-04-03,Thursday,9.6,1.1,False,1,Walk,3.5,Neutral
STD018,2025-04-03,Thursday,7.2,4.1,True,2,Gym,8.0,Happy
STD128,2025-03-23,Sunday,8.0,5.4,False,1,Gym,2.2,Neutral
